Description	Ensembl GeneIDs
predicted gene 12790	ENSMUSG00000078626
60S acidic ribosomal protein P1 pseudogene	ENSMUSG00000087076
predicted gene, 52720	
predicted gene, 52721	
predicted gene, 52722	
predicted gene, 52723	
predicted gene, 52724	
predicted gene, 52725	
predicted gene, 52726	
predicted gene, 52727	
prothymosin alpha, pseudogene 2	
predicted gene 12679	
predicted gene, 52728	
predicted gene, 52729	
predicted gene 12446	
predicted gene, 52731	
predicted gene, 52732	
predicted gene, 52733	
predicted gene, 52734	
predicted gene, 52735	
predicted gene, 52736	
predicted gene, 52737	
predicted gene, 52738	
predicted gene, 52739	
predicted gene, 52740	
predicted gene, 52741	
predicted gene, 52742	
predicted gene, 52743	
predicted gene, 52744	
nuclear encoded rRNA 5S 185	ENSMUSG00000065887
predicted gene, 24099	ENSMUSG00000119614
predicted gene, 23975	ENSMUSG00000064619
predicted gene, 22055	ENSMUSG00000065322
predicted gene, 23055	ENSMUSG00000064739
predicted gene, 24042	ENSMUSG00000065048
predicted gene, 23423	ENSMUSG00000075958
predicted gene, 22345	ENSMUSG00000084593
predicted gene, 22573	ENSMUSG00000064916
predicted gene, 26017	
predicted gene, 25811	ENSMUSG00000064687
predicted gene, 26424	ENSMUSG00000084479
predicted gene, 25705	ENSMUSG00000065053
predicted gene, 24697	ENSMUSG00000065815
predicted gene, 24762	ENSMUSG00000065623
predicted gene, 25323	ENSMUSG00000084504
predicted gene, 24796	ENSMUSG00000119654
predicted gene, 24468	ENSMUSG00000077677
predicted gene, 24234	ENSMUSG00000077504
predicted gene, 26049	ENSMUSG00000087938
predicted gene, 25637	ENSMUSG00000088154
predicted gene, 24965	ENSMUSG00000088547
predicted gene, 23354	ENSMUSG00000089051
predicted gene, 22605	ENSMUSG00000088914
predicted gene, 25623	ENSMUSG00000087841
predicted gene, 25827	ENSMUSG00000087714
predicted gene, 22335	ENSMUSG00000088349
predicted gene, 25600	ENSMUSG00000088982
predicted gene, 26084	ENSMUSG00000088528
predicted gene, 24678	ENSMUSG00000089381
predicted gene, 22221	ENSMUSG00000087987
predicted gene, 25982	ENSMUSG00000088545
predicted gene, 22042	ENSMUSG00000064923
predicted gene, 22523	ENSMUSG00000089321
predicted gene, 27579	
predicted gene, 27521	ENSMUSG00000098261
predicted gene, 22100	ENSMUSG00000088551
predicted gene, 25010	ENSMUSG00000089028
predicted gene, 26087	ENSMUSG00000088526
U7 small nuclear RNA	
U7 small nuclear RNA	
predicted gene, 25581	ENSMUSG00000065344
predicted gene, 25877	ENSMUSG00000077514
predicted gene, 22980	ENSMUSG00000064542
predicted gene, 23540	ENSMUSG00000088168
predicted gene, 26330	ENSMUSG00000064751
predicted gene, 25480	ENSMUSG00000065151
predicted gene, 22247	ENSMUSG00000064410
predicted gene, 25788	ENSMUSG00000064655
predicted gene, 22154	ENSMUSG00000065778
predicted gene, 22767	ENSMUSG00000088990
predicted gene, 26036	ENSMUSG00000088774
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 52753	
predicted gene, 52754	
predicted gene, 23738	ENSMUSG00000064762
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 24152	ENSMUSG00000064698
predicted gene, 25004	ENSMUSG00000065745
predicted gene, 24977	ENSMUSG00000065040
predicted gene, 25938	ENSMUSG00000077327
predicted gene, 23338	ENSMUSG00000089585
small nucleolar RNA SNORA40	
predicted gene, 26047	ENSMUSG00000087933
predicted gene, 23090	ENSMUSG00000093562
predicted gene, 24837	ENSMUSG00000089308
predicted gene, 22888	ENSMUSG00000089265
predicted gene, 52758	
predicted gene, 24016	ENSMUSG00000088351
predicted gene, 25124	ENSMUSG00000065279
predicted gene, 25280	ENSMUSG00000087894
predicted gene, 23230	ENSMUSG00000087923
predicted gene, 52759	
predicted gene, 52760	
predicted gene, 22850	
predicted gene, 52761	
predicted gene, 52762	
predicted gene, 25419	ENSMUSG00000077403
predicted gene, 25899	ENSMUSG00000064606
predicted gene, 26254	
predicted gene, 25270	ENSMUSG00000084555
predicted gene, 23287	ENSMUSG00000119459
predicted gene, 23143	ENSMUSG00000119142
predicted gene, 25099	ENSMUSG00000119227
predicted gene, 24978	ENSMUSG00000096423
predicted gene, 24967	ENSMUSG00000118825
predicted gene, 22092	ENSMUSG00000119735
predicted gene, 25173	ENSMUSG00000095003
predicted gene, 26138	ENSMUSG00000096195
predicted gene, 23412	ENSMUSG00000119168
predicted gene, 23148	ENSMUSG00000118769
predicted gene, 24317	ENSMUSG00000096738
predicted gene, 25137	ENSMUSG00000065185
predicted gene, 23138	ENSMUSG00000065299
predicted gene, 22685	ENSMUSG00000064782
predicted gene, 24448	ENSMUSG00000119757
nucleoside diphosphate kinase B pseudogene	ENSMUSG00000104733
ATP synthase subunit g, mitochondrial pseudogene	ENSMUSG00000107149
predicted gene 3053	
predicted gene, 52763	
predicted gene, 52764	
predicted gene, 52765	
predicted gene, 52766	
uncharacterized LOC115490109	
predicted gene, 52767	
predicted gene, 52768	
predicted gene, 52769	
predicted gene 15469	
predicted gene, 52770	
methyltransferase-like protein 4 pseudogene	
predicted gene, 52771	
predicted gene, 52772	
predicted gene, 52773	
predicted gene, 52774	
predicted gene, 52775	
predicted gene, 52776	
predicted gene, 52777	
predicted gene, 52778	
predicted gene, 52779	
activated RNA polymerase II transcriptional coactivator p15 pseudogene	
predicted gene, 52780	
predicted gene 10461	
predicted gene, 52781	
predicted gene, 52782	
predicted gene, 52783	
predicted gene 42517	ENSMUSG00000105867
predicted gene, 52784	
predicted gene, 52785	
predicted gene, 52786	
predicted gene, 52787	
predicted gene 15860	
uncharacterized LOC115490137	
predicted gene, 52788	
predicted gene, 52789	
DDB1 and CUL4 associated factor 16 pseudogene	ENSMUSG00000105634
predicted gene 43664	
uncharacterized LOC115490142	
predicted gene, 52790	
predicted gene 43013	
predicted gene 42456	
predicted gene, 52791	
predicted gene, 52792	
predicted gene, 52793	
predicted gene 43380	
predicted gene, 52794	
predicted gene, 52795	
predicted gene, 52796	
predicted gene 42861	ENSMUSG00000106042
predicted gene, 52797	
serine/arginine-rich splicing factor 3 pseudogene	ENSMUSG00000105675
predicted gene, 52798	
predicted gene 42622	ENSMUSG00000105807
predicted gene 43596	
predicted gene, 52799	
ribosomal protein S29, pseudogene	
predicted gene, 52800	
elongation factor 1-gamma pseudogene	
small nuclear ribonucleoprotein-associated protein N pseudogene	
predicted gene, 52802	
predicted gene, 52803	
predicted gene, 52804	
predicted gene, 52805	
predicted gene 43000	
predicted gene, 52806	
macrophage migration inhibitory factor, pseudogene 12	
predicted gene 15587	
predicted gene, 52807	
predicted gene, 52808	
predicted gene, 52809	
RIKEN cDNA A930033C23 gene	
predicted gene, 52810	
predicted gene, 52811	
predicted gene, 52812	
predicted gene, 52813	
predicted gene, 52814	
predicted gene, 53247	
predicted gene 43699	
predicted gene 16015	ENSMUSG00000087281
predicted gene 42427	
DNA-directed RNA polymerase III subunit RPC6 pseudogene	ENSMUSG00000101587
predicted gene, 52815	
predicted gene, 52816	
predicted gene, 52817	
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 pseudogene	
predicted gene, 52818	
ribosomal protein L23a pseudogene	ENSMUSG00000083874
rho GTPase-activating protein 11A pseudogene	ENSMUSG00000104798
predicted gene, 52819	
predicted gene 42759	
predicted gene, 52820	
40S ribosomal protein S6 pseudogene	ENSMUSG00000084218
zinc finger protein 431-like	
predicted gene, 52821	
predicted gene, 52822	
predicted gene, 52823	
predicted gene, 52824	
predicted gene, 52825	
predicted gene, 52826	
predicted gene 13842	
predicted gene, 52827	
predicted gene, 52828	
predicted gene, 52829	
predicted gene 42875	
predicted gene, 52830	
predicted gene, 52831	
predicted gene, 52832	
predicted gene 10858	
predicted gene, 52833	
predicted gene, 52834	
nuclear encoded rRNA 5S 173	ENSMUSG00000064554
predicted gene, 26335	ENSMUSG00000118998
predicted gene, 22583	ENSMUSG00000118827
predicted gene, 26285	ENSMUSG00000119383
predicted gene, 22618	ENSMUSG00000119176
predicted gene, 25525	ENSMUSG00000119207
predicted gene, 24897	ENSMUSG00000119515
predicted gene, 25937	ENSMUSG00000119041
predicted gene, 24121	ENSMUSG00000075983
predicted gene, 22740	ENSMUSG00000065373
predicted gene, 24538	ENSMUSG00000118780
predicted gene, 24097	ENSMUSG00000119653
predicted gene, 22887	ENSMUSG00000119906
predicted gene, 24311	ENSMUSG00000119602
predicted gene, 22716	ENSMUSG00000119880
predicted gene, 23932	ENSMUSG00000119086
predicted gene, 23570	ENSMUSG00000119744
predicted gene, 22974	ENSMUSG00000065235
predicted gene, 26072	ENSMUSG00000118789
predicted gene, 22056	
predicted gene, 22779	ENSMUSG00000077273
predicted gene, 25918	ENSMUSG00000077454
predicted gene, 24839	ENSMUSG00000084551
predicted gene, 24630	ENSMUSG00000084717
predicted gene, 23312	ENSMUSG00000089399
predicted gene, 24003	ENSMUSG00000089080
predicted gene, 22929	ENSMUSG00000093258
predicted gene, 24502	ENSMUSG00000089078
predicted gene, 24399	ENSMUSG00000088494
predicted gene, 24686	ENSMUSG00000088380
predicted gene, 24304	ENSMUSG00000119601
predicted gene, 24131	ENSMUSG00000089164
predicted gene, 24878	ENSMUSG00000089407
predicted gene, 26411	ENSMUSG00000088293
predicted gene, 25768	ENSMUSG00000089195
predicted gene, 22557	ENSMUSG00000088429
predicted gene, 23331	ENSMUSG00000088048
predicted gene, 22965	ENSMUSG00000088583
U6 spliceosomal RNA	ENSMUSG00000088696
predicted gene, 25335	ENSMUSG00000088668
predicted gene, 24129	ENSMUSG00000089162
predicted gene, 23641	ENSMUSG00000088482
predicted gene, 25521	ENSMUSG00000089018
predicted gene, 24512	ENSMUSG00000092704
U7 small nuclear RNA	
U7 small nuclear RNA	
predicted gene, 23067	ENSMUSG00000088863
predicted gene, 22270	ENSMUSG00000077222
predicted gene, 26387	ENSMUSG00000077426
predicted gene, 25091	ENSMUSG00000077185
predicted gene, 25290	ENSMUSG00000084745
predicted gene, 26205	ENSMUSG00000064841
predicted gene, 26286	ENSMUSG00000077354
predicted gene, 23532	ENSMUSG00000077757
predicted gene, 23245	ENSMUSG00000065304
predicted gene, 22897	ENSMUSG00000105400
predicted gene, 22728	ENSMUSG00000088712
predicted gene, 23202	ENSMUSG00000077564
predicted gene, 23993	ENSMUSG00000088103
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 24626	ENSMUSG00000064555
predicted gene, 52839	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 25513	ENSMUSG00000065795
predicted gene, 22656	ENSMUSG00000077387
predicted gene, 23458	ENSMUSG00000065191
predicted gene, 22490	ENSMUSG00000087813
predicted gene, 26079	ENSMUSG00000077254
predicted gene, 25492	ENSMUSG00000088008
predicted gene, 26044	ENSMUSG00000080566
predicted gene, 23031	ENSMUSG00000088623
predicted gene, 24524	ENSMUSG00000064859
small nucleolar RNA U13	
small nucleolar RNA U13	
small nucleolar RNA U13	
predicted gene, 24671	ENSMUSG00000077347
predicted gene, 22054	ENSMUSG00000065329
predicted gene, 23838	ENSMUSG00000088692
predicted gene, 25721	ENSMUSG00000088121
predicted gene, 22847	ENSMUSG00000088332
predicted gene, 24840	ENSMUSG00000084552
predicted gene, 24623	ENSMUSG00000064550
predicted gene, 23661	ENSMUSG00000084579
predicted gene, 24666	ENSMUSG00000089562
predicted gene, 23022	ENSMUSG00000089393
predicted gene, 52846	
U2 spliceosomal RNA	
predicted gene, 52849	
predicted gene, 52850	
predicted gene, 52851	
predicted gene, 24525	ENSMUSG00000064851
predicted gene, 52852	
predicted gene, 24407	ENSMUSG00000119132
predicted gene, 24265	ENSMUSG00000119520
predicted gene, 25284	ENSMUSG00000118914
predicted gene, 22249	ENSMUSG00000064419
predicted gene, 23429	ENSMUSG00000084435
predicted gene, 25806	
predicted gene, 22956	
predicted gene, 25211	ENSMUSG00000119825
predicted gene, 23092	ENSMUSG00000119278
predicted gene, 24242	ENSMUSG00000118838
predicted gene, 22450	ENSMUSG00000118770
predicted gene, 23712	ENSMUSG00000119356
predicted gene, 25672	ENSMUSG00000119467
predicted gene, 25473	ENSMUSG00000119790
predicted gene, 22308	ENSMUSG00000119859
predicted gene, 23151	ENSMUSG00000119346
nuclease-sensitive element-binding protein 1 pseudogene	
high mobility group protein B1 pseudogene	
predicted gene, 44064	
predicted gene, 44180	
voltage-dependent anion-selective channel protein 2 pseudogene	ENSMUSG00000107438
predicted gene 43125	
60S ribosomal protein L22-like 1 pseudogene	
predicted gene 44988	
40S ribosomal protein S25 pseudogene	
RIKEN cDNA 6530409C15 gene	
predicted gene, 53248	
predicted gene, 52856	
predicted gene, 52857	
predicted gene, 52858	
predicted gene, 52859	
predicted gene, 52860	
predicted gene, 52861	
predicted gene, 52862	
predicted gene, 44262	
predicted gene, 52863	
predicted gene, 44008	
predicted gene, 52864	
predicted gene, 52865	
predicted gene, 52866	
predicted gene, 44097	
predicted gene, 52867	
predicted gene, 52868	
predicted gene, 52869	
predicted gene, 52870	
predicted gene, 43868	ENSMUSG00000107455
predicted gene, 52871	
predicted gene, 52872	
predicted gene, 52873	
RIKEN cDNA 1700080F18 gene	
predicted gene, 52874	
predicted gene, 52875	
predicted gene, 52876	
predicted gene, 44148	ENSMUSG00000107736
predicted gene, 52877	
predicted gene, 44096	
predicted gene, 52878	
predicted gene, 52879	
ubiquitin-conjugating enzyme E2 variant 1 pseudogene	
predicted gene, 52881	
zinc finger protein 706 pseudogene	
60S ribosomal protein L32 pseudogene	ENSMUSG00000108163
predicted gene, 44478	
predicted gene, 52882	
predicted gene, 35931	ENSMUSG00000107532
predicted gene, 52883	
40S ribosomal protein S23 pseudogene	ENSMUSG00000107416
RIKEN cDNA F830010H11 gene	
60S ribosomal protein L24 pseudogene	
predicted gene 10209	
predicted gene, 52885	
predicted gene, 52886	
predicted gene, 52887	
predicted gene, 52888	
predicted gene, 52889	
predicted gene, 52890	
predicted gene, 52891	
predicted gene, 52892	
predicted gene, 52893	
predicted gene, 52894	
predicted gene, 52895	
predicted gene, 52896	
predicted gene, 52897	
RIKEN cDNA 1700095J07 gene	ENSMUSG00000084861
predicted gene, 52898	
uncharacterized LOC115490404	
predicted gene, 52899	
predicted gene, 52900	
predicted gene, 52901	
predicted gene, 52902	
uncharacterized LOC115490409	ENSMUSG00000085696
predicted gene, 52903	
predicted gene, 52904	
predicted gene, 52905	
predicted gene, 52906	
predicted gene, 44240	
predicted gene, 52907	
60S ribosomal protein L27 pseudogene	
predicted gene, 52908	
predicted gene, 52909	
predicted gene, 52910	
40S ribosomal protein S17 pseudogene	
predicted gene, 52912	
predicted gene 44981	
predicted gene 15737	ENSMUSG00000079462
predicted gene, 52913	
predicted gene, 52914	
predicted gene, 52915	
predicted gene, 44040	
predicted gene, 52916	
predicted gene, 52917	
predicted gene, 52918	
predicted gene 28809	
predicted gene, 52919	
predicted gene, 44066	
predicted gene, 52920	
predicted gene, 52921	
predicted gene, 52922	
uncharacterized LOC115490439	
predicted gene, 52923	
predicted gene, 52924	
60S ribosomal protein L18 pseudogene	
predicted gene, 53249	
predicted gene, 52926	
nuclear encoded rRNA 5S 162	ENSMUSG00000064515
predicted gene, 23013	ENSMUSG00000077334
predicted gene, 24947	ENSMUSG00000088959
predicted gene, 25205	ENSMUSG00000064775
predicted gene, 26008	ENSMUSG00000089422
predicted gene, 22212	ENSMUSG00000088721
predicted gene, 25054	ENSMUSG00000087995
predicted gene, 26373	ENSMUSG00000088458
predicted gene, 26022	ENSMUSG00000089288
predicted gene, 22621	
predicted gene, 23035	ENSMUSG00000088627
predicted gene, 22321	ENSMUSG00000087777
predicted gene, 23231	ENSMUSG00000087924
predicted gene, 24533	ENSMUSG00000065072
predicted gene, 25402	ENSMUSG00000064900
predicted gene, 26160	ENSMUSG00000089590
U7 small nuclear RNA	
predicted gene, 27549	ENSMUSG00000098970
predicted gene, 24784	ENSMUSG00000088265
predicted gene, 25656	ENSMUSG00000089091
predicted gene, 25852	ENSMUSG00000064724
predicted gene, 23960	ENSMUSG00000087831
predicted gene, 26175	ENSMUSG00000065728
predicted gene, 25136	ENSMUSG00000065187
predicted gene, 23346	ENSMUSG00000065750
small nucleolar RNA SNORA46	
predicted gene, 24355	ENSMUSG00000064792
predicted gene, 25434	ENSMUSG00000088903
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 23339	ENSMUSG00000089587
small nucleolar RNA SNORA48	
predicted gene, 25818	ENSMUSG00000119449
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
small nucleolar RNA SNORA48	
predicted gene, 22155	ENSMUSG00002076380
predicted gene, 26264	ENSMUSG00000065212
predicted gene, 23510	ENSMUSG00002076989
predicted gene, 25589	ENSMUSG00000064436
predicted gene, 23727	ENSMUSG00000118890
predicted gene, 23485	ENSMUSG00000077369
small nucleolar RNA SNORA40	
small nucleolar RNA SNORA40	
predicted gene, 23751	ENSMUSG00000088208
small nucleolar RNA, C/D box 94	ENSMUSG00000080465
small nucleolar RNA U13	
small nucleolar RNA U13	
predicted gene, 23547	ENSMUSG00000088835
predicted gene, 22283	ENSMUSG00000064490
U1 spliceosomal RNA	ENSMUSG00000064987
predicted gene, 24691	ENSMUSG00000088387
predicted gene, 23435	ENSMUSG00000087808
predicted gene, 26105	ENSMUSG00000087878
predicted gene, 52941	
predicted gene, 52942	
predicted gene, 22946	ENSMUSG00000089183
predicted gene, 52943	
predicted gene, 52944	
predicted gene, 22122	ENSMUSG00000092888
predicted gene, 22418	ENSMUSG00000119629
predicted gene, 25737	ENSMUSG00000119288
predicted gene, 26058	ENSMUSG00000118743
predicted gene, 23924	ENSMUSG00000064408
predicted gene, 24565	ENSMUSG00000118937
predicted gene, 25021	ENSMUSG00000119734
predicted gene, 25327	ENSMUSG00000119208
predicted gene, 23648	ENSMUSG00000119543
predicted gene, 26501	ENSMUSG00000119290
predicted gene, 22363	ENSMUSG00000065034
predicted gene, 23002	ENSMUSG00000119802
predicted gene, 22828	ENSMUSG00000065702
predicted gene, 24536	ENSMUSG00000065078
predicted gene, 24611	ENSMUSG00002076678
predicted gene, 22971	ENSMUSG00000065239
predicted gene, 23625	ENSMUSG00000064391
predicted gene, 23851	ENSMUSG00002076020
predicted gene, 23244	ENSMUSG00000065309
