	Description	Ensembl GeneIDs
232	Fc receptor, IgG, low affinity IIb	ENSMUSG00000026656
233	fibronectin 1	ENSMUSG00000026193
234	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	ENSMUSG00000020838
235	integrin alpha M	ENSMUSG00000030786
236	Janus kinase 2	ENSMUSG00000024789
237	neurofibromin 1	ENSMUSG00000020716
238	proliferating cell nuclear antigen	ENSMUSG00000027342
239	phosphoinositide-3-kinase regulatory subunit 1	ENSMUSG00000041417
240	dicer 1, ribonuclease type III	ENSMUSG00000041415
241	Rous sarcoma oncogene	ENSMUSG00000027646
242	transforming growth factor, beta receptor II	ENSMUSG00000032440
243	CD40 ligand	ENSMUSG00000031132
244	wingless-type MMTV integration site family, member 1	ENSMUSG00000022997
246	RNA binding protein, fox-1 homolog (C. elegans) 3	ENSMUSG00000025576
247	TIR domain containing adaptor molecule 1	ENSMUSG00000047123
248	BCL2-like 11 (apoptosis facilitator)	ENSMUSG00000027381
249	Bruton agammaglobulinemia tyrosine kinase	ENSMUSG00000031264
250	cadherin 2	ENSMUSG00000024304
251	leucine rich repeat containing G protein coupled receptor 5	ENSMUSG00000020140
252	GATA binding protein 1	ENSMUSG00000031162
253	pancreatic and duodenal homeobox 1	ENSMUSG00000029644
254	ret proto-oncogene	ENSMUSG00000030110
255	superoxide dismutase 2, mitochondrial	ENSMUSG00000006818
256	signal transducer and activator of transcription 5A	ENSMUSG00000004043
257	wingless-type MMTV integration site family, member 3A	ENSMUSG00000009900
258	CD274 antigen	ENSMUSG00000016496
259	H2A.Z histone variant 2	ENSMUSG00000041126
260	DNA methyltransferase (cytosine-5) 1	ENSMUSG00000004099
261	NK2 homeobox 5	ENSMUSG00000015579
262	NPC intracellular cholesterol transporter 1	ENSMUSG00000024413
263	paired box 2	ENSMUSG00000004231
264	paired box 7	ENSMUSG00000028736
265	proteolipid protein (myelin) 1	ENSMUSG00000031425
266	vimentin	ENSMUSG00000026728
267	neuropeptide Y	ENSMUSG00000029819
269	ATP-binding cassette, sub-family A (ABC1), member 1	ENSMUSG00000015243
270	aquaporin 4	ENSMUSG00000024411
271	calcitonin/calcitonin-related polypeptide, alpha	ENSMUSG00000030669
272	CD1d1 antigen	ENSMUSG00000028076
273	suppressor of cytokine signaling 3	ENSMUSG00000053113
274	klotho	ENSMUSG00000058488
275	pro-opiomelanocortin-alpha	ENSMUSG00000020660
276	uncoupling protein 1 (mitochondrial, proton carrier)	ENSMUSG00000031710
277	oligodendrocyte transcription factor 2	ENSMUSG00000039830
278	activation-induced cytidine deaminase	ENSMUSG00000040627
279	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	ENSMUSG00000034656
280	CCAAT/enhancer binding protein (C/EBP), alpha	ENSMUSG00000034957
281	circadian locomotor output cycles kaput	ENSMUSG00000029238
282	E2F transcription factor 1	ENSMUSG00000027490
283	enhancer of zeste 2 polycomb repressive complex 2 subunit	ENSMUSG00000029687
284	gonadotropin releasing hormone 1	ENSMUSG00000015812
285	glutamate receptor, ionotropic, AMPA1 (alpha 1)	ENSMUSG00000020524
286	inhibitor of kappaB kinase beta	ENSMUSG00000031537
287	achaete-scute family bHLH transcription factor 1	ENSMUSG00000020052
288	myostatin	ENSMUSG00000026100
289	progesterone receptor	ENSMUSG00000031870
290	protein kinase C, alpha	ENSMUSG00000050965
291	spleen focus forming virus (SFFV) proviral integration oncogene	ENSMUSG00000002111
292	rhodopsin	ENSMUSG00000030324
293	nuclear receptor subfamily 1, group H, member 3	ENSMUSG00000002108
294	wingless-type MMTV integration site family, member 5A	ENSMUSG00000021994
295	forkhead box O3	ENSMUSG00000048756
296	calbindin 2	ENSMUSG00000003657
297	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	ENSMUSG00000030500
298	Fc receptor, IgE, high affinity I, gamma polypeptide	ENSMUSG00000058715
299	glutamic acid decarboxylase 2	ENSMUSG00000026787
300	interleukin 12a	ENSMUSG00000027776
301	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	ENSMUSG00000033016
302	orthodenticle homeobox 2	ENSMUSG00000021848
303	nuclear receptor subfamily 1, group H, member 4	ENSMUSG00000047638
304	scavenger receptor class B, member 1	ENSMUSG00000037936
305	transformation related protein 63	ENSMUSG00000022510
306	transient receptor potential cation channel, subfamily A, member 1	ENSMUSG00000032769
307	cytotoxic T-lymphocyte-associated protein 4	ENSMUSG00000026011
308	fibroblast growth factor 10	ENSMUSG00000021732
309	GATA binding protein 3	ENSMUSG00000015619
310	GLI-Kruppel family member GLI3	ENSMUSG00000021318
311	hes family bHLH transcription factor 1	ENSMUSG00000022528
312	interferon beta 1, fibroblast	ENSMUSG00000048806
314	integrin beta 2	ENSMUSG00000000290
315	integrin beta 3	ENSMUSG00000020689
316	potassium inwardly-rectifying channel, subfamily J, member 6	ENSMUSG00000043301
317	msh homeobox 1	ENSMUSG00000048450
318	protein kinase C, delta	ENSMUSG00000021948
319	protein tyrosine phosphatase, non-receptor type 11	ENSMUSG00000043733
320	ghrelin	ENSMUSG00000064177
321	transient receptor potential cation channel, subfamily V, member 4	ENSMUSG00000014158
322	autophagy related 5	ENSMUSG00000038160
323	BCL2-like 1	ENSMUSG00000007659
324	breast cancer 1, early onset	ENSMUSG00000017146
325	chemokine (C-C motif) receptor 7	ENSMUSG00000037944
326	fibrillin 1	ENSMUSG00000027204
327	glutamate receptor, ionotropic, NMDA2B (epsilon 2)	ENSMUSG00000030209
328	interleukin 4 receptor, alpha	ENSMUSG00000030748
329	interleukin 7	ENSMUSG00000040329
330	SMAD family member 1	ENSMUSG00000031681
331	SMAD family member 4	ENSMUSG00000024515
332	transformed mouse 3T3 cell double minute 2	ENSMUSG00000020184
333	platelet derived growth factor receptor, beta polypeptide	ENSMUSG00000024620
334	recombination signal binding protein for immunoglobulin kappa J region	ENSMUSG00000039191
335	selectin, platelet	ENSMUSG00000026580
336	SRY (sex determining region Y)-box 10	ENSMUSG00000033006
337	autophagy related 7	ENSMUSG00000030314
338	protein kinase, AMP-activated, alpha 2 catalytic subunit	ENSMUSG00000028518
339	chemokine (C-C motif) receptor 5	ENSMUSG00000079227
340	jagged 1	ENSMUSG00000027276
341	lipocalin 2	ENSMUSG00000026822
342	lamin A	ENSMUSG00000028063
343	peroxisome proliferator activator receptor delta	ENSMUSG00000002250
344	survival motor neuron 1	ENSMUSG00000021645
345	serine/threonine kinase 11	ENSMUSG00000003068
346	NK2 homeobox 1	ENSMUSG00000001496
347	TSC complex subunit 1	ENSMUSG00000026812
348	Nanog homeobox	ENSMUSG00000012396
349	adrenergic receptor, beta 2	ENSMUSG00000045730
350	cell division cycle 42	ENSMUSG00000006699
351	cannabinoid receptor 2 (macrophage)	ENSMUSG00000062585
352	desmin	ENSMUSG00000026208
353	cellular communication network factor 2	ENSMUSG00000019997
354	glial cell line derived neurotrophic factor	ENSMUSG00000022144
355	H19, imprinted maternally expressed transcript	ENSMUSG00000000031
356	protein tyrosine phosphatase, non-receptor type 6	ENSMUSG00000004266
357	H2A.X variant histone	ENSMUSG00000049932
358	lymphotoxin A	ENSMUSG00000024402
359	SMAD family member 2	ENSMUSG00000024563
360	met proto-oncogene	ENSMUSG00000009376
361	neutrophil cytosolic factor 1	ENSMUSG00000015950
362	prospero homeobox 1	ENSMUSG00000010175
363	tenascin C	ENSMUSG00000028364
364	fibroblast growth factor 21	ENSMUSG00000030827
365	sirtuin 3	ENSMUSG00000025486
366	stimulator of interferon response cGAMP interactor 1	ENSMUSG00000024349
367	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	ENSMUSG00000031980
368	CD80 antigen	ENSMUSG00000075122
369	chemokine (C-X-C motif) receptor 2	ENSMUSG00000026180
370	DNA methyltransferase 3A	ENSMUSG00000020661
371	dopamine receptor D1	ENSMUSG00000021478
372	early growth response 2	ENSMUSG00000037868
373	FMS-like tyrosine kinase 1	ENSMUSG00000029648
374	glutamate receptor, ionotropic, delta 2	ENSMUSG00000071424
376	hepatocyte growth factor	ENSMUSG00000028864
377	Harvey rat sarcoma virus oncogene	ENSMUSG00000025499
378	Kruppel-like factor 4 (gut)	ENSMUSG00000003032
379	L1 cell adhesion molecule	ENSMUSG00000031391
380	leukemia inhibitory factor	ENSMUSG00000034394
381	myogenic factor 5	ENSMUSG00000000435
382	myogenin	ENSMUSG00000026459
383	RAR-related orphan receptor alpha	ENSMUSG00000032238
384	neuregulin 1	ENSMUSG00000062991
385	T-box brain transcription factor 1	ENSMUSG00000035033
386	nucleotide-binding oligomerization domain containing 2	ENSMUSG00000055994
387	PYD and CARD domain containing	ENSMUSG00000030793
388	a disintegrin and metallopeptidase domain 17	ENSMUSG00000052593
389	axin 2	ENSMUSG00000000142
390	DNA-damage inducible transcript 3	ENSMUSG00000025408
391	EGF-like repeats and discoidin I-like domains 3	ENSMUSG00000034488
392	engrailed 1	ENSMUSG00000058665
393	coagulation factor II (thrombin) receptor-like 1	ENSMUSG00000021678
394	growth hormone receptor	ENSMUSG00000055737
395	interleukin 1 alpha	ENSMUSG00000027399
396	insulin receptor substrate 1	ENSMUSG00000055980
397	lymphoid enhancer binding factor 1	ENSMUSG00000027985
398	metallothionein 1	ENSMUSG00000031765
399	neuropilin 1	ENSMUSG00000025810
400	period circadian clock 1	ENSMUSG00000020893
401	polycystin 1, transient receptor potential channel interacting	ENSMUSG00000032855
402	plasminogen activator, tissue	ENSMUSG00000031538
403	pancreas specific transcription factor, 1a	ENSMUSG00000026735
404	inactive X specific transcripts	ENSMUSG00000086503
405	tight junction protein 1	ENSMUSG00000030516
406	parkin RBR E3 ubiquitin protein ligase	ENSMUSG00000023826
407	interleukin 22	ENSMUSG00000074695
408	receptor-interacting serine-threonine kinase 3	ENSMUSG00000022221
409	APOBEC1 complementation factor	ENSMUSG00000052595
410	bone morphogenetic protein 7	ENSMUSG00000008999
411	cyclin-dependent kinase 5	ENSMUSG00000028969
412	chemokine (C-X-C motif) receptor 3	ENSMUSG00000050232
413	collagen, type X, alpha 1	ENSMUSG00000039462
414	CREB binding protein	ENSMUSG00000022521
415	corticotropin releasing hormone	ENSMUSG00000049796
416	endothelin 1	ENSMUSG00000021367
417	endothelial PAS domain protein 1	ENSMUSG00000024140
418	heat shock protein 5	ENSMUSG00000026864
419	hepatic nuclear factor 4, alpha	ENSMUSG00000017950
420	heat shock protein 1B	ENSMUSG00000090877
421	indoleamine 2,3-dioxygenase 1	ENSMUSG00000031551
422	Indian hedgehog	ENSMUSG00000006538
423	interleukin 7 receptor	ENSMUSG00000003882
424	notch 2	ENSMUSG00000027878
425	ryanodine receptor 2, cardiac	ENSMUSG00000021313
427	uncoupling protein 2 (mitochondrial, proton carrier)	ENSMUSG00000033685
428	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	ENSMUSG00000020573
430	zinc finger and BTB domain containing 20	ENSMUSG00000022708
431	B cell leukemia/lymphoma 11B	ENSMUSG00000048251
432	apolipoprotein A-I	ENSMUSG00000032083
433	delta like canonical Notch ligand 1	ENSMUSG00000014773
434	hemolytic complement	ENSMUSG00000026874
435	5-hydroxytryptamine (serotonin) receptor 1A	ENSMUSG00000021721
436	laminin, alpha 2	ENSMUSG00000019899
437	low density lipoprotein receptor-related protein 1	ENSMUSG00000040249
438	msh homeobox 2	ENSMUSG00000021469
439	neurogenic differentiation 1	ENSMUSG00000034701
440	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	ENSMUSG00000040584
441	retinoic acid receptor, alpha	ENSMUSG00000037992
442	secreted acidic cysteine rich glycoprotein	ENSMUSG00000018593
443	thrombospondin 1	ENSMUSG00000040152
444	vasoactive intestinal polypeptide	ENSMUSG00000019772
445	beta-site APP cleaving enzyme 1	ENSMUSG00000032086
446	nuclear receptor subfamily 5, group A, member 1	ENSMUSG00000026751
447	NADPH oxidase 4	ENSMUSG00000030562
448	interleukin 23, alpha subunit p19	ENSMUSG00000025383
449	Braf transforming gene	ENSMUSG00000002413
450	adenosine A1 receptor	ENSMUSG00000042429
451	atonal bHLH transcription factor 1	ENSMUSG00000073043
452	PR domain containing 1, with ZNF domain	ENSMUSG00000038151
453	caspase 8	ENSMUSG00000026029
454	suppressor of cytokine signaling 1	ENSMUSG00000038037
455	cytochrome P450, family 19, subfamily a, polypeptide 1	ENSMUSG00000032274
456	erythropoietin receptor	ENSMUSG00000006235
457	fibroblast growth factor receptor 3	ENSMUSG00000054252
458	growth hormone	ENSMUSG00000020713
459	nuclear receptor subfamily 4, group A, member 1	ENSMUSG00000023034
460	inhibitor of DNA binding 2	ENSMUSG00000020644
461	LYN proto-oncogene, Src family tyrosine kinase	ENSMUSG00000042228
462	SMAD family member 5	ENSMUSG00000021540
463	matrix metallopeptidase 13	ENSMUSG00000050578
464	nerve growth factor	ENSMUSG00000027859
465	paired-like homeodomain transcription factor 2	ENSMUSG00000028023
466	protein kinase, cAMP dependent, catalytic, alpha	ENSMUSG00000005469
467	RAR-related orphan receptor gamma	ENSMUSG00000028150
468	solute carrier family 2 (facilitated glucose transporter), member 1	ENSMUSG00000028645
469	sterol regulatory element binding transcription factor 1	ENSMUSG00000020538
470	spleen tyrosine kinase	ENSMUSG00000021457
471	sex determining region of Chr Y	ENSMUSG00000069036
472	transglutaminase 2, C polypeptide	ENSMUSG00000037820
473	thyroid hormone receptor alpha	ENSMUSG00000058756
474	thyroid hormone receptor beta	ENSMUSG00000021779
475	natriuretic peptide type A	ENSMUSG00000041616
476	interferon regulatory factor 3	ENSMUSG00000003184
477	COMM domain containing 10	ENSMUSG00000042705
478	RIKEN cDNA 1700016L21 gene	ENSMUSG00000101483
479	glutamate receptor, metabotropic 5	ENSMUSG00000049583
480	c-abl oncogene 1, non-receptor tyrosine kinase	ENSMUSG00000026842
481	angiotensin II receptor, type 2	ENSMUSG00000068122
482	Bmi1 polycomb ring finger oncogene	ENSMUSG00000026739
483	CD79A antigen (immunoglobulin-associated alpha)	ENSMUSG00000003379
484	caudal type homeobox 2	ENSMUSG00000029646
485	discs large MAGUK scaffold protein 4	ENSMUSG00000020886
486	epidermal growth factor	ENSMUSG00000028017
487	erythropoietin	ENSMUSG00000029711
488	glucagon-like peptide 1 receptor	ENSMUSG00000024027
489	glutamate receptor, ionotropic, NMDA2A (epsilon 1)	ENSMUSG00000059003
490	forkhead box G1	ENSMUSG00000020950
491	lysine demethylase and nuclear receptor corepressor	ENSMUSG00000022096
492	chemokine (C-X-C motif) ligand 10	ENSMUSG00000034855
493	keratin 14	ENSMUSG00000045545
494	interleukin 1 receptor-like 1	ENSMUSG00000026069
495	myeloblastosis oncogene	ENSMUSG00000019982
496	prostaglandin-endoperoxide synthase 1	ENSMUSG00000047250
497	sphingosine kinase 1	ENSMUSG00000061878
498	TNF receptor-associated factor 6	ENSMUSG00000027164
499	vascular cell adhesion molecule 1	ENSMUSG00000027962
500	solute carrier family 32 (GABA vesicular transporter), member 1	ENSMUSG00000037771
501	Von Willebrand factor	ENSMUSG00000001930
502	X-box binding protein 1	ENSMUSG00000020484
503	histone deacetylase 1	ENSMUSG00000028800
504	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	ENSMUSG00000015405
505	adenylate cyclase activating polypeptide 1	ENSMUSG00000024256
506	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	ENSMUSG00000000731
507	bone morphogenetic protein receptor, type 1A	ENSMUSG00000021796
508	CD86 antigen	ENSMUSG00000022901
509	collagen, type I, alpha 2	ENSMUSG00000029661
510	histocompatibility 2, K1, K region	ENSMUSG00000061232
511	interferon regulatory factor 8	ENSMUSG00000041515
512	interferon regulatory factor 1	ENSMUSG00000018899
513	myocyte enhancer factor 2C	ENSMUSG00000005583
514	microtubule-associated protein 2	ENSMUSG00000015222
515	NK2 homeobox 2	ENSMUSG00000027434
516	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	ENSMUSG00000026177
517	sequestosome 1	ENSMUSG00000015837
518	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSMUSG00000027665
519	protein kinase C, epsilon	ENSMUSG00000045038
520	plasminogen activator, urokinase	ENSMUSG00000021822
521	protein tyrosine phosphatase, non-receptor type 1	ENSMUSG00000027540
522	macrophage scavenger receptor 1	ENSMUSG00000025044
523	surfactant associated protein C	ENSMUSG00000022097
524	src homology 2 domain-containing transforming protein C1	ENSMUSG00000042626
525	signal transducer and activator of transcription 4	ENSMUSG00000062939
526	tachykinin 1	ENSMUSG00000061762
527	arrestin, beta 2	ENSMUSG00000060216
528	mitogen-activated protein kinase kinase kinase 7	ENSMUSG00000028284
529	smoothened, frizzled class receptor	ENSMUSG00000001761
531	thymoma viral proto-oncogene 2	ENSMUSG00000004056
532	arachidonate 5-lipoxygenase	ENSMUSG00000025701
533	complement component 5a receptor 1	ENSMUSG00000049130
534	CD14 antigen	ENSMUSG00000051439
535	Eph receptor A4	ENSMUSG00000026235
536	gap junction protein, alpha 5	ENSMUSG00000057123
537	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	ENSMUSG00000027523
538	glutamate receptor, ionotropic, AMPA2 (alpha 2)	ENSMUSG00000033981
539	interleukin 2 receptor, alpha chain	ENSMUSG00000026770
